"Data Source","World Development Indicators",

"Last Updated Date","2022-02-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Domestic general government health expenditure (% of current health expenditure)","SH.XPD.GHED.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Domestic general government health expenditure (% of current health expenditure)","SH.XPD.GHED.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.2901214394863","34.8424622027408","35.4052566314145","38.7705405041875","38.2399784010242","38.2906400872518","41.5249108069757","42.0186908566195","41.4762951964264","43.2173099607582","43.7722492700725","43.9871036858691","44.2395762207339","42.4531324029095","45.2073282891564","45.5087421077359","43.7427945628925","43.9301140318422","46.7330291160767","47.6487624375777","",
"Afghanistan","AFG","Domestic general government health expenditure (% of current health expenditure)","SH.XPD.GHED.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.89142376","7.28044415","5.53527164","5.31934786","4.6865387","5.65336657","6.12099695","5.41736698","5.47462463","5.60622501","4.34189463","5.03476191","4.96025801","5.17223978","5.0778451","5.09581852","3.88780427","8.18920326","",
"Africa Western and Central","AFW","Domestic general government health expenditure (% of current health expenditure)","SH.XPD.GHED.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.3782473920744","24.1255594742156","21.0169141340929","20.1606854398893","24.3187424269128","25.2723602470731","23.0022986066448","22.1327986482584","21.1538479516002","20.8354858206064","20.0179638541352","20.8731497339373","21.3323079479136","20.0083207708525","18.1039436324924","19.520114180863","19.0929082506276","19.92893597485","21.7599952080978","21.9203648430245","",
"Angola","AGO","Domestic general government health expenditure (% of current health expenditure)","SH.XPD.GHED.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.20956802","45.64084244","39.30446243","41.30799866","42.51447678","44.8341713","53.77399445","57.89378738","64.35443115","67.67429352","62.11627579","64.75706482","65.25455475","62.0297966","54.15326309","47.36523056","44.13825607","46.27865219","42.07641983","41.22381592","",
"Albania","ALB","Domestic general government health expenditure (% of current health expenditure)","SH.XPD.GHED.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.23709106","38.56386185","37.46622849","37.80501175","41.64583206","42.06929398","42.58932877","38.55909348","44.19590378","50.80281067","50.12300491","49.33045959","48.56695938","47.86376953","47.12691498","55.78379059","57.0320549","53.3665657","53.99380493","","",
"Andorra","AND","Domestic general government health expenditure (% of current health expenditure)","SH.XPD.GHED.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65.43888855","65.08621216","66.74997711","64.51071167","62.59926605","65.0329895","60.58561325","60.39723206","65.68434143","68.47375488","69.49567413","66.79931641","66.42776489","66.89189148","68.21192169","68.98734283","69.09091187","69.7142868","67.93478394","69.48703766","",
"Arab World","ARB","Domestic general government health expenditure (% of current health expenditure)","SH.XPD.GHED.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.7402511986161","56.9623258200073","56.1233320068382","56.5609820341764","56.3657655846431","57.0022765317021","58.1387382838583","57.7030024921355","57.6995396264278","60.0213699830297","58.1728757235708","60.0938572874026","58.802046822598","59.3522964428745","60.8542219362323","58.1169689056664","57.4640966599637","58.1774925684154","59.300351695311","58.4024139831695","",
"United Arab Emirates","ARE","Domestic general government health expenditure (% of current health expenditure)","SH.XPD.GHED.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68.83045959","77.01039886","61.22885513","61.27508163","57.10731125","56.84106445","57.30421448","58.67370224","63.91038895","73.68283081","70.85415649","72.42097473","72.54479218","71.97174072","70.97637939","71.25105286","72.12788391","54.81139374","51.57845688","52.2978363","",
"Argentina","ARG","Domestic general government health expenditure (% of current health expenditure)","SH.XPD.GHED.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.73170471","54.85204315","54.55613708","54.71241379","51.7989769","51.41910172","52.60231018","54.30964279","55.09854507","59.96014023","58.95255661","60.32122803","62.42687225","63.59713745","65.42354584","66.71373749","62.11119843","63.19857407","61.406147","62.36080933","",
"Armenia","ARM","Domestic general government health expenditure (% of current health expenditure)","SH.XPD.GHED.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.7532177","28.82457352","15.39143753","16.80312729","21.37230873","25.22076416","27.11775017","29.35340118","22.41243935","21.4559288","18.25899696","17.84222031","17.27693176","13.32556438","14.79110718","15.91488075","16.45247269","13.24466896","12.34010696","12.40508175","",
"American Samoa","ASM","Domestic general government health expenditure (% of current health expenditure)","SH.XPD.GHED.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Domestic general government health expenditure (% of current health expenditure)","SH.XPD.GHED.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.84612274","59.07860565","58.43793869","59.90863037","58.03319931","55.622612","52.95463943","51.3323288","50.76409531","54.89453506","58.3164444","56.94827271","56.2952652","56.08193207","59.15979004","59.78766251","55.84991074","56.1620903","60.07439423","58.43976212","",
"Australia","AUS","Domestic general government health expenditure (% of current health expenditure)","SH.XPD.GHED.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.83631897","71.10847473","71.93769073","71.34125519","71.6871109","71.83748627","71.6663208","72.90619659","72.32991791","73.01054382","72.35727692","73.26029205","71.23465729","67.76560211","67.51345825","68.43888855","68.53295135","68.69087219","68.78314209","71.68196106","",
"Austria","AUT","Domestic general government health expenditure (% of current health expenditure)","SH.XPD.GHED.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.16340637","73.64528656","73.43814087","73.13826752","72.05495453","72.65168762","72.8501358","72.79901123","73.78759766","72.84671021","72.39570618","72.68902588","72.8737793","72.16905975","72.51708984","72.45601654","72.35967255","71.7000351","72.58782196","73.00772095","",
"Azerbaijan","AZE","Domestic general government health expenditure (% of current health expenditure)","SH.XPD.GHED.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.39671898","28.66815948","26.876091","28.48566437","32.42844772","40.59415817","41.90460205","45.56750488","44.55003738","43.26019669","40.5940361","38.74684525","37.56232452","35.00720596","33.40050125","31.71983719","28.82154846","26.81677055","26.11437225","31.73548889","",
"Burundi","BDI","Domestic general government health expenditure (% of current health expenditure)","SH.XPD.GHED.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.71829605","26.42440796","23.72472191","21.46398544","30.75166893","24.48413086","23.77729797","23.28586578","16.88206291","20.10341644","17.60574341","34.46960449","31.3074913","18.04870987","38.09447479","37.63588715","24.77155685","25.82351875","27.7635479","33.37874603","",
"Belgium","BEL","Domestic general government health expenditure (% of current health expenditure)","SH.XPD.GHED.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.53091431","75.33213043","73.72327423","73.76641846","74.68391418","74.48225403","74.31139374","73.92250061","75.48977661","76.05448914","76.02928925","76.10446167","76.55556488","76.11443329","76.32601166","75.90756226","77.23085785","77.31998444","76.82447815","76.77693176","",
"Benin","BEN","Domestic general government health expenditure (% of current health expenditure)","SH.XPD.GHED.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.01166344","28.53469849","23.84386253","21.88357353","23.7856369","23.26777649","24.19742012","20.59366989","20.87325668","26.45173454","24.17091942","25.70649338","21.86915207","26.74820328","21.56858063","20.13637733","20.98593903","31.09478951","19.60268784","22.65070915","",
"Burkina Faso","BFA","Domestic general government health expenditure (% of current health expenditure)","SH.XPD.GHED.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.58329773","33.63924408","35.60902023","31.18563652","40.3057785","30.94970894","31.69763947","27.36342812","29.28507042","32.30834961","24.93154144","28.95878601","23.12789345","28.98208809","32.53527451","28.37508011","40.0837326","43.30178452","42.50740814","41.813591","",
"Bangladesh","BGD","Domestic general government health expenditure (% of current health expenditure)","SH.XPD.GHED.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.69051743","22.07117844","24.71072578","25.00970459","24.43157959","22.1964798","23.08750534","22.87058258","21.33563423","20.35685921","21.02813721","20.92262268","20.47002983","19.73048019","19.03475761","17.63069725","16.42222595","16.69693184","16.98113441","18.62574577","",
"Bulgaria","BGR","Domestic general government health expenditure (% of current health expenditure)","SH.XPD.GHED.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59.55728912","56.07350922","59.33761597","60.71678543","59.42908096","59.572052","55.67277145","55.74913025","55.3944397","53.80400848","55.24332428","54.13435745","50.79977417","56.56290817","58.23860168","55.89730072","55.13334274","54.93484879","57.6365242","59.15585709","",
"Bahrain","BHR","Domestic general government health expenditure (% of current health expenditure)","SH.XPD.GHED.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.03279114","66.88708496","66.71940613","62.43166351","64.97053528","67.61737823","68.94334412","65.51988983","66.06523132","63.9039917","62.96856308","62.53778839","65.34840393","65.18132782","65.06402588","64.88478851","61.36419678","57.97850037","58.83235168","59.20456696","",
"Bahamas, The","BHS","Domestic general government health expenditure (% of current health expenditure)","SH.XPD.GHED.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.57864761","39.90871811","39.59148407","40.5092392","39.83108521","39.37672424","38.45758057","40.03848267","42.86437225","45.56985092","45.07131958","44.60736084","43.497715","45.63111496","44.95444489","44.35163116","48.65687943","55.34870148","49.94552994","51.96248245","",
"Bosnia and Herzegovina","BIH","Domestic general government health expenditure (% of current health expenditure)","SH.XPD.GHED.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.36355591","59.61251068","62.20930862","68.37924957","56.95884323","54.57805252","54.56290436","55.33282089","55.68477631","68.03462982","68.06682587","67.67099762","68.64822388","69.71353149","70.36660767","69.21731567","70.8972702","70.12523651","69.86695862","68.72327423","",
"Belarus","BLR","Domestic general government health expenditure (% of current health expenditure)","SH.XPD.GHED.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78.66545105","74.61546326","72.53397369","75.9923172","76.69067383","74.49872589","71.47140503","70.18518066","65.78203583","64.56335449","68.04415894","63.35825348","65.65190125","62.65647888","62.60076904","60.78436279","70.94084167","69.10974121","70.5627594","70.38102722","",
"Belize","BLZ","Domestic general government health expenditure (% of current health expenditure)","SH.XPD.GHED.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.94732666","51.50496292","52.26268768","50.56510162","50.91133881","53.10925674","56.93388748","59.93031693","66.06208038","64.25035858","66.5559845","65.38774109","65.79531097","66.67019653","62.86966324","67.95101929","68.8132019","68.64944458","68.60220337","69.86820221","",
"Bermuda","BMU","Domestic general government health expenditure (% of current health expenditure)","SH.XPD.GHED.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Domestic general government health expenditure (% of current health expenditure)","SH.XPD.GHED.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55.32917404","54.17406464","53.14351273","53.00777054","52.13727188","54.26985168","56.02086639","59.09320831","58.65034485","61.03662872","58.76804733","58.39107513","57.03056335","58.5225296","62.62419128","65.74084473","64.82120514","68.52770233","72.80451965","71.23578644","",
"Brazil","BRA","Domestic general government health expenditure (% of current health expenditure)","SH.XPD.GHED.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.63555527","41.08930588","42.38710403","42.85684204","42.67026901","41.6314621","42.92739487","42.48596573","43.74353027","44.16326523","45.02125549","44.49915695","43.36180878","44.51945877","44.05274582","43.25646591","43.06282806","41.73838043","41.09182358","40.74078369","",
"Barbados","BRB","Domestic general government health expenditure (% of current health expenditure)","SH.XPD.GHED.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51.85347748","53.28871536","53.51586914","56.23847961","59.38097382","57.19828796","56.26591873","54.45846176","55.32143784","54.59559631","53.45088959","48.49534607","55.33291626","50.78301239","46.94935989","47.23840714","47.15645599","45.35305786","44.77546692","44.83425903","",
"Brunei Darussalam","BRN","Domestic general government health expenditure (% of current health expenditure)","SH.XPD.GHED.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.16868591","83.19325256","83.58944702","82.9486618","83.09052277","83.66603851","85.31147003","87.21500397","89.89176178","90.50060272","91.73865509","91.52812958","91.14807129","90.5925827","92.66539764","95.02642059","95.02018738","94.58857727","95.14164734","94.31989288","",
"Bhutan","BTN","Domestic general government health expenditure (% of current health expenditure)","SH.XPD.GHED.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.66617584","70.69815063","72.40852356","69.16651917","66.05213928","63.90855408","55.88532639","64.55660248","69.12611389","73.8507843","72.05212402","73.41854858","69.57640839","68.88393402","69.01010132","74.25157928","73.95301819","74.51843262","79.54949951","73.56784058","",
"Botswana","BWA","Domestic general government health expenditure (% of current health expenditure)","SH.XPD.GHED.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.82457733","56.63296127","58.13523483","57.96559525","58.35521317","56.53858185","57.206707","56.68532181","62.19720078","51.50703812","57.55474091","61.4154892","64.50315094","63.92881393","67.8591156","67.75788116","66.52246857","75.6595993","78.5582428","78.52378845","",
"Central African Republic","CAF","Domestic general government health expenditure (% of current health expenditure)","SH.XPD.GHED.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.24095917","38.34764481","33.96053314","35.08499527","34.25292206","23.70716858","27.63511848","26.95021057","20.77784729","15.39517784","15.28324318","10.73114491","15.80216408","19.85089111","14.46299267","9.05484867","11.0127058","10.93435097","6.26232719","10.57010651","",
