"Data Source","World Development Indicators",

"Last Updated Date","2022-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Domestic general government health expenditure per capita (current US$)","SH.XPD.GHED.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Domestic general government health expenditure per capita (current US$)","SH.XPD.GHED.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.599016767363","13.5693901570073","12.7336333767995","20.0012540593494","24.2939438098669","26.9707430205334","32.1061813629886","36.40374532737","36.9734424913336","40.1644246129564","47.2633242204024","51.8721990228861","50.0305727655216","47.1629219352347","47.2304907335045","45.0381917578327","41.4269709263753","44.986423617935","45.00322636148","43.8300388099369","","",
"Afghanistan","AFG","Domestic general government health expenditure per capita (current US$)","SH.XPD.GHED.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.14087316","1.24027791","1.12990194","1.27081888","1.30457162","1.76791153","2.33226259","2.26027417","2.4630628","2.85096025","2.233482","2.77086252","2.92699537","3.04678667","3.05628788","3.34826009","2.72140895","5.38899046","","",
"Africa Western and Central","AFW","Domestic general government health expenditure per capita (current US$)","SH.XPD.GHED.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.94595105689481","5.0747009413316","4.64889314308299","6.86851994668529","9.40873998544316","11.175468832324","11.6959464231318","12.2276899236759","13.497368750333","12.0099373888818","12.2953416794165","14.3353410566917","15.1544601382595","15.7559229156684","14.8098417298036","14.3078091632495","12.1524593492856","12.1504405989147","12.909945972337","13.4456177986871","","",
"Angola","AGO","Domestic general government health expenditure per capita (current US$)","SH.XPD.GHED.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.56664377","13.1984744","11.41769656","14.40624147","21.17677491","24.32736989","37.5408628","53.76035045","87.26835466","81.20663802","60.06458607","79.07305692","79.7316527","89.07904913","71.29150188","51.43055902","41.98650334","52.91251824","36.73723231","29.40330087","","",
"Albania","ALB","Domestic general government health expenditure per capita (current US$)","SH.XPD.GHED.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.82557931","34.54579114","36.06915495","47.62977288","65.20411534","69.52596734","74.33125468","85.71827904","97.43617521","94.71818238","96.23779383","104.12452595","103.79718042","113.41702105","118.45738839","107.59863316","115.21235199","120.75823508","148.4365691","","","",
"Andorra","AND","Domestic general government health expenditure per capita (current US$)","SH.XPD.GHED.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","852.42050463","877.02698482","1020.4407744","1174.12191903","1279.09218323","1495.56597778","1309.37946259","1451.70740953","1851.51329631","1858.5486664","1866.29220845","1759.51587329","1574.37585594","1627.33449585","1725.14075623","1549.63119418","1631.38665557","1789.86121297","1916.98456252","1906.85942943","","",
"Arab World","ARB","Domestic general government health expenditure per capita (current US$)","SH.XPD.GHED.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62.0910973466986","66.4274862507137","65.031161877922","63.7404614717704","69.5772994315737","78.1842924289697","91.778864345191","107.271691777212","126.095043355344","141.37957022265","143.117249886905","169.043307480612","178.508286923914","200.98050397425","222.276662196445","202.840474400678","201.830579722841","217.287104161327","224.703538999155","222.868900342099","","",
"United Arab Emirates","ARE","Domestic general government health expenditure per capita (current US$)","SH.XPD.GHED.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","541.71028527","598.47136954","525.28966489","543.20437432","510.8479763","519.16125642","558.44142176","629.39590216","832.84233958","955.64989752","931.47000892","1041.75550995","1018.18421074","1096.76559803","1127.30539444","987.21030802","953.5337233","904.39816608","937.35993401","963.68927564","","",
"Argentina","ARG","Domestic general government health expenditure per capita (current US$)","SH.XPD.GHED.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","387.92160925","370.28302256","122.12313832","143.50332189","161.42892646","201.86562662","239.76034285","310.67294178","411.30692067","471.08900065","580.7029151","728.91668551","854.26357877","904.13348228","841.48920147","1021.71045491","716.4738335","966.72963849","692.61743135","589.92823278","","",
"Armenia","ARM","Domestic general government health expenditure per capita (current US$)","SH.XPD.GHED.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.94520865","9.29861671","9.17828166","11.22079696","15.42477493","24.30142711","34.23695818","50.66451567","59.6869212","54.24822636","54.27104865","58.98201922","58.10586937","52.80022312","60.01179356","58.08499052","58.81064273","53.72709008","52.11013478","65.00251312","","",
"American Samoa","ASM","Domestic general government health expenditure per capita (current US$)","SH.XPD.GHED.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
