"Data Source","World Development Indicators",

"Last Updated Date","2022-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Domestic private health expenditure per capita (current US$)","SH.XPD.PVTD.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Domestic private health expenditure per capita (current US$)","SH.XPD.PVTD.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.0821816885144","23.2271134376658","21.0263209654346","27.0501895886862","32.9622366067382","33.0591654239311","34.9746349048635","38.6182129567342","39.1448245081715","38.5323013316247","44.5761283461061","49.5758862926538","47.3561209067524","47.9135132445822","45.4875516347831","43.497951158082","42.4133283902958","45.0222458560424","38.7747764079056","36.5804196112588","","",
"Afghanistan","AFG","Domestic private health expenditure per capita (current US$)","SH.XPD.PVTD.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.49204723","14.66252735","17.25441753","18.86634996","21.38543832","24.44519073","28.73069622","30.36549678","35.54101566","37.25279732","38.31590145","39.65127422","43.1095203","46.17228869","45.72794863","49.59757036","53.42270666","52.24943995","","",
"Africa Western and Central","AFW","Domestic private health expenditure per capita (current US$)","SH.XPD.PVTD.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.8480684269313","14.2001241723971","15.4146804304098","24.5371893084409","25.9706802469601","29.3446015468227","34.9253613137073","38.1064241142243","44.6442372534154","40.1432397570589","43.1333802335235","46.8334983789302","47.7149574137307","52.0006660880703","54.5248801197197","48.2139822854856","42.9041363970193","42.0191545013514","39.7703675274289","39.2670513510046","","",
"Angola","AGO","Domestic private health expenditure per capita (current US$)","SH.XPD.PVTD.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.36555508","15.30594303","17.26058421","20.1065134","27.67294055","28.28505574","28.18290892","36.59491984","44.96250606","34.19685646","33.49321036","39.54041479","39.79586768","50.84291953","56.18272703","54.25286316","49.6743565","57.86081228","47.66218016","39.66132528","","",
"Albania","ALB","Domestic private health expenditure per capita (current US$)","SH.XPD.PVTD.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.69450448","51.7564209","57.4827011","68.05230783","82.45149379","86.81703828","89.61615138","124.44686728","117.0127284","87.86558076","90.94027664","104.61727893","107.71586259","120.59402641","131.08904612","83.49495732","84.38040584","100.86330057","122.77054171","","","",
"Andorra","AND","Domestic private health expenditure per capita (current US$)","SH.XPD.PVTD.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","450.20013815","470.45802684","508.30992822","645.9199459","764.21013347","804.13756405","851.82590769","951.89174558","967.29131283","855.70103819","819.18752277","874.51668993","795.68114684","805.44838683","803.94909028","696.62319739","729.83087223","777.56265809","904.81671351","837.33477229","","",
"Arab World","ARB","Domestic private health expenditure per capita (current US$)","SH.XPD.PVTD.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51.0473414485656","49.8516841053152","50.4944745109049","48.347041088576","52.8093369099154","58.1956080038414","64.6565973357485","76.5851518622261","90.7428804946462","92.1640166335423","100.989134147495","110.77429753568","123.62357990994","135.952043417827","140.764042487588","144.806151076751","147.718559020503","153.428589594332","152.513511130181","157.002155096436","","",
"United Arab Emirates","ARE","Domestic private health expenditure per capita (current US$)","SH.XPD.PVTD.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","245.31086885","178.65924477","332.62232636","343.29688526","383.69241299","394.19477214","416.07920879","443.30935153","470.2984413","341.32775285","383.15994692","396.71660538","385.34068275","427.11816892","460.976976","398.32749397","368.47057451","745.62045758","879.98780326","879.00512825","","",
"Argentina","ARG","Domestic private health expenditure per capita (current US$)","SH.XPD.PVTD.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","320.63082775","303.41973126","97.32157908","117.88238737","130.6133804","186.0785116","214.55088366","260.05481847","328.27605664","312.31955033","401.21882204","472.4630752","507.02997908","511.18446426","437.93207499","505.42655876","433.50085994","556.30485353","431.89842985","353.69231875","","",
"Armenia","ARM","Domestic private health expenditure per capita (current US$)","SH.XPD.PVTD.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.84415403","17.15100502","45.7246977","52.06543681","52.80944166","60.80376976","77.40406035","100.84955957","190.94194546","186.98229521","231.87482023","261.18115375","268.25767398","335.22117719","339.51151702","302.93554396","291.95854953","346.70304454","365.03429566","453.78133835","","",
"American Samoa","ASM","Domestic private health expenditure per capita (current US$)","SH.XPD.PVTD.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Domestic private health expenditure per capita (current US$)","SH.XPD.PVTD.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","214.27962125","230.27740881","227.86393852","241.62812582","245.55607928","277.14867548","304.0555964","337.02368425","330.50559127","266.60160669","291.64923989","298.32548424","317.84574065","310.68466676","323.7981341","303.29829219","343.58140167","328.62143235","322.09314377","315.61461018","","",
"Australia","AUS","Domestic private health expenditure per capita (current US$)","SH.XPD.PVTD.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","461.55053709","451.91147007","496.83360913","644.6185996","783.45649452","848.56129325","902.37326843","1029.49334175","1131.91722622","1078.32053695","1366.94320432","1567.40179459","1733.21126661","1874.10360162","1821.81840982","1534.69104637","1571.36716959","1672.0221365","1674.64183247","1536.95206312","","",
"Austria","AUT","Domestic private health expenditure per capita (current US$)","SH.XPD.PVTD.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","586.26494905","601.55049278","663.47967483","830.36068909","1004.52679904","1014.73097696","1054.22430585","1218.26917778","1325.76061616","1338.38227778","1325.22504677","1411.3815496","1347.11379996","1457.04460452","1482.31873623","1270.55566366","1301.82500092","1397.70915425","1458.94808199","1414.98351148","","",
"Azerbaijan","AZE","Domestic private health expenditure per capita (current US$)","SH.XPD.PVTD.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.13273335","13.44935544","14.88553818","16.39012469","18.01090292","20.52321089","28.33375126","39.74372908","58.15567648","72.0433736","84.47678003","105.61309945","135.19108269","154.06186009","175.29430526","152.77849988","110.94967219","112.46528624","123.31086593","131.24163322","","",
"Burundi","BDI","Domestic private health expenditure per capita (current US$)","SH.XPD.PVTD.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.36949565","4.61651614","4.829321","4.34217495","4.46549983","6.01945299","8.11309527","9.20842662","9.84462525","9.5818657","10.43094475","9.75859967","8.59439909","8.44105016","9.95026879","10.33014331","9.38338598","9.92673648","8.88078613","8.4260468","","",
"Belgium","BEL","Domestic private health expenditure per capita (current US$)","SH.XPD.PVTD.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","471.15669304","463.73992128","547.79619923","741.97303383","842.17450099","872.62887485","914.0330986","1063.4800975","1144.73231522","1114.28918868","1089.41598102","1181.34574372","1103.4052789","1181.80263874","1200.96866385","1033.92438365","1032.4042538","1083.15404614","1189.92740275","1151.95435338","","",
"Benin","BEN","Domestic private health expenditure per capita (current US$)","SH.XPD.PVTD.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.10614845","9.16274386","10.10106241","12.56485486","13.77111926","13.63776869","14.20185973","15.21499703","16.14020927","15.85406611","15.55759509","16.95017944","16.38043606","17.10278844","17.16848281","14.28518296","14.43182868","14.71445462","15.64573608","15.43953105","","",
"Burkina Faso","BFA","Domestic private health expenditure per capita (current US$)","SH.XPD.PVTD.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.47942297","3.60780808","3.6942589","4.36517964","5.82243939","6.09032125","7.03159958","8.28207252","10.18000222","11.64443544","11.42022631","13.41481943","13.48838195","18.18390295","17.38823657","15.74289494","14.93391828","17.22731088","17.03723027","17.94908109","","",
"Bangladesh","BGD","Domestic private health expenditure per capita (current US$)","SH.XPD.PVTD.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.42315346","5.67929222","6.08329002","6.69716574","7.25028003","7.91745615","8.46783462","9.87112322","11.08699374","12.55568226","14.51739532","16.04980363","16.46115259","18.92160389","21.53227586","24.4209882","26.18849649","28.62951414","32.05437139","34.51084634","","",
"Bulgaria","BGR","Domestic private health expenditure per capita (current US$)","SH.XPD.PVTD.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.21164294","52.63011897","60.24419807","76.89078006","94.57344252","108.24201054","130.38879316","159.84697337","203.21481431","212.18095196","216.9423661","254.97206022","274.86190837","237.79846192","252.76454886","229.95988373","252.30354464","281.45412743","292.26788429","285.04874017","","",
"Bahrain","BHR","Domestic private health expenditure per capita (current US$)","SH.XPD.PVTD.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","164.97412763","160.56693483","167.41138738","213.10189872","192.7880985","184.67622528","183.64150489","238.93627166","257.13603692","283.44757959","294.88814479","301.6887157","336.5946639","371.21318411","384.73483011","396.36617505","424.56247619","473.19021472","409.2801251","383.63846889","","",
"Bahamas, The","BHS","Domestic private health expenditure per capita (current US$)","SH.XPD.PVTD.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","616.21510393","641.5922688","658.31471153","671.05835483","685.03449626","733.92531538","805.47037048","839.25895305","841.8551125","791.96161523","812.67088944","817.41378282","877.13680861","866.2248174","910.191136","900.67246677","901.16311814","955.29402976","991.65069049","952.73912936","","",
"Bosnia and Herzegovina","BIH","Domestic private health expenditure per capita (current US$)","SH.XPD.PVTD.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.75095952","43.46514017","45.71328637","54.82037901","104.41486312","118.82771502","136.57166948","171.81401584","212.07189414","131.82038868","127.09006638","138.84486074","133.4552664","142.01752571","147.30348438","128.59210864","133.57241258","142.18688285","160.40102934","164.6762955","","",
"Belarus","BLR","Domestic private health expenditure per capita (current US$)","SH.XPD.PVTD.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.26179918","18.74070685","23.79554147","26.26095237","33.14044739","50.42561896","63.49479765","83.40554633","119.63139519","102.2539437","108.26445526","116.2329853","123.67226464","168.61121262","167.03541882","140.83690529","85.52256722","101.77484912","102.60140514","117.7399783","","",
"Belize","BLZ","Domestic private health expenditure per capita (current US$)","SH.XPD.PVTD.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.6104022","65.85690545","68.63590093","70.19943248","70.86760448","69.37201903","68.25442896","70.07352815","71.28464657","73.21938876","74.27532996","77.20753463","77.60962643","80.05781657","80.94499781","82.47186504","87.41397603","84.04257763","82.64608061","79.63792804","","",
"Bermuda","BMU","Domestic private health expenditure per capita (current US$)","SH.XPD.PVTD.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Domestic private health expenditure per capita (current US$)","SH.XPD.PVTD.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.84362607","18.05070483","17.6600292","17.95389455","18.18377544","20.0046771","21.71909381","23.42111459","27.98422759","31.73594648","38.29264168","44.85453161","52.85645568","61.52343264","63.06878324","62.02007804","67.15044422","63.43977053","60.28156387","67.96416144","","",
"Brazil","BRA","Domestic private health expenditure per capita (current US$)","SH.XPD.PVTD.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","181.41732604","158.4045106","141.49362982","143.18447818","167.85749084","224.41961186","276.62887181","346.13653778","397.63082148","401.93562692","490.78749798","569.03554931","540.83938168","543.68228008","567.60637232","444.95777814","454.12225314","547.251771","509.49648297","504.46608826","","",
"Barbados","BRB","Domestic private health expenditure per capita (current US$)","SH.XPD.PVTD.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","289.2686165","289.30148539","295.70994869","327.87761103","360.64236261","389.40846904","422.34738895","442.57161579","460.28556693","476.43664309","481.34375363","550.69225496","559.86760709","584.84997635","586.29321157","571.46324012","577.3028301","606.2171422","629.28092574","620.55947102","","",
"Brunei Darussalam","BRN","Domestic private health expenditure per capita (current US$)","SH.XPD.PVTD.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.50988416","78.11615427","77.65919956","91.2719622","104.71821105","105.54356846","96.16434846","89.83625561","79.71511248","70.41862994","66.3821619","74.31163912","78.2223328","79.90009357","58.58831891","36.99943213","34.46210243","35.10221587","37.07630221","38.14549051","","",
"Bhutan","BTN","Domestic private health expenditure per capita (current US$)","SH.XPD.PVTD.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.77327129","3.76750453","6.75784399","7.3039739","7.77578527","8.1517821","8.29909025","9.59266384","9.34234979","10.41427684","12.54553091","13.38335953","18.66900509","18.90675307","19.85883817","20.37686074","21.05280392","15.00834692","14.79301053","22.57837704","","",
"Botswana","BWA","Domestic private health expenditure per capita (current US$)","SH.XPD.PVTD.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.79249325","58.41690617","57.73868963","77.41412025","88.0093991","87.29575605","84.62803305","88.08080392","83.5021345","141.06837308","148.83645452","148.50661478","133.7418435","122.47106142","105.36119216","98.1711161","112.02757884","71.31976182","75.05486848","73.80637296","","",
"Central African Republic","CAF","Domestic private health expenditure per capita (current US$)","SH.XPD.PVTD.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.90135866","5.23359086","5.55851087","7.09687015","7.9912633","8.31152591","8.97500198","10.20753236","11.68310941","11.58947769","11.88384894","13.22570267","13.23318041","9.08699323","10.67427636","9.41336493","12.29736592","17.31413078","22.74382071","22.805353","","",
"Canada","CAN","Domestic private health expenditure per capita (current US$)","SH.XPD.PVTD.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","545.1067658","561.35556916","595.15096077","688.40357484","787.95647755","888.88368016","1157.82539568","1281.20054694","1353.57739886","1303.64766411","1524.58514472","1608.4027029","1625.74623841","1594.05315974","1527.42161401","1362.0367835","1404.86885656","1469.39398973","1497.10624551","1506.05718408","","",
"Central Europe and the Baltics","CEB","Domestic private health expenditure per capita (current US$)","SH.XPD.PVTD.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.0463019623418","66.3952962249844","76.8891085784331","95.1354065736222","121.830430711864","139.050467733648","155.55613685577","196.172372589894","243.898878563695","220.637187374884","226.089164933272","245.79663156076","238.603883831996","245.706024587263","249.419262345437","221.663228953654","232.409152786499","257.022093371446","272.277221742872","284.583037917618","","",
"Switzerland","CHE","Domestic private health expenditure per capita (current US$)","SH.XPD.PVTD.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2542.91744618","2635.66085043","2890.80424237","3442.42162117","3876.43722631","3912.29502499","3935.84711151","4264.55229366","4870.11449985","4951.3545185","5211.58743974","6164.07543459","5908.25990746","6234.4546205","6504.18222891","6397.48435229","6513.63201991","6574.96373516","6788.96716843","6562.52812764","","",
"Channel Islands","CHI","Domestic private health expenditure per capita (current US$)","SH.XPD.PVTD.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Domestic private health expenditure per capita (current US$)","SH.XPD.PVTD.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","229.18958351","208.17343616","201.78179733","216.12556201","258.7911385","303.67887855","334.90156287","374.47912421","409.18712806","390.99251364","458.90183328","523.75710702","561.14403155","617.42986008","598.60983131","585.84673361","589.87863298","674.65318363","715.60100019","675.28285549","","",
"China","CHN","Domestic private health expenditure per capita (current US$)","SH.XPD.PVTD.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.84735433","33.56034385","36.59514693","39.78974826","44.05093268","48.17227011","52.56694278","59.01760631","72.96259448","82.11556634","89.46375706","109.21091265","124.52513731","139.85311913","149.30858274","155.30195835","165.64376868","189.44678744","218.37635363","235.56726056","","",
"Cote d'Ivoire","CIV","Domestic private health expenditure per capita (current US$)","SH.XPD.PVTD.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.04756982","46.76285566","49.00750702","55.15782187","56.88177958","53.33010352","50.43216539","52.50299549","58.9429573","56.11473721","56.36825796","55.43698506","51.35567953","52.17907333","52.89734959","39.33674366","40.07413486","40.63576673","42.33439325","41.81110112","","",
"Cameroon","CMR","Domestic private health expenditure per capita (current US$)","SH.XPD.PVTD.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.86322421","20.73636135","22.72276007","28.01320704","31.56584424","32.30732729","33.39860376","37.62544808","41.50741428","40.21227097","38.99174858","41.1837798","41.85244689","44.08085248","45.04723755","39.8094229","40.7195886","42.95634347","45.31480416","44.51408246","","",
"Congo, Dem. Rep.","COD","Domestic private health expenditure per capita (current US$)","SH.XPD.PVTD.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.97264421","4.89941182","3.7308249","4.9354945","6.64583856","7.01455085","8.37858956","8.74617591","9.11552778","7.0678893","5.79263399","5.56962242","6.47940189","7.49387343","8.90169721","8.69540561","9.08439479","9.23667387","9.2056325","9.32993526","","",
"Congo, Rep.","COG","Domestic private health expenditure per capita (current US$)","SH.XPD.PVTD.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.49016196","9.72341123","10.83225049","13.65028655","15.95366403","16.87773167","18.50659746","21.88014092","25.63254037","26.12756606","24.79833792","26.13532938","23.04211548","24.13101745","25.24489557","21.38018386","29.45125652","29.78054849","29.28264712","26.24923767","","",
"Colombia","COL","Domestic private health expenditure per capita (current US$)","SH.XPD.PVTD.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.81672609","34.01866774","29.89281761","26.57541932","39.7444592","56.40914357","64.47650269","88.37135949","114.49427091","105.93277256","124.17465504","131.0463824","160.8138137","173.83250162","172.5600978","135.52916104","131.18467025","141.79637463","145.66288076","139.2645676","","",
"Comoros","COM","Domestic private health expenditure per capita (current US$)","SH.XPD.PVTD.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.6584115","37.49364189","39.57784434","47.35531284","52.0455297","52.05158525","52.48443132","57.26700922","61.49510254","58.26269908","55.36530684","51.94051782","50.91337831","54.15484153","54.12530295","45.21186574","44.42191407","46.9811923","49.45533991","47.99469404","","",
"Cabo Verde","CPV","Domestic private health expenditure per capita (current US$)","SH.XPD.PVTD.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.47006931","16.21721185","17.7447549","22.29167744","24.24131211","25.65025674","29.15528914","31.66618346","33.82415518","34.25791971","46.41014877","46.27308751","47.96905662","51.56630503","53.15897979","44.06326509","47.54335197","51.88378947","56.50188982","48.72949226","","",
"Costa Rica","CRI","Domestic private health expenditure per capita (current US$)","SH.XPD.PVTD.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.48972807","85.07953212","90.94930223","96.23025943","98.56518351","111.7985644","122.5320514","143.88908648","165.14620335","153.81516157","181.49171917","222.47694107","229.50900204","239.03896834","240.69793379","241.1979502","234.20406302","227.70882818","251.06827693","253.09577577","","",
"Caribbean small states","CSS","Domestic private health expenditure per capita (current US$)","SH.XPD.PVTD.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","131.411243492257","134.032334205579","135.534889433512","142.078286040156","159.377932839715","175.330555552213","192.986744011139","219.495172434623","234.314083218822","220.845202692205","232.722376809559","241.281822045432","251.46948456123","254.690385783953","263.635902950462","262.548125388203","258.182455318658","262.638381085463","280.47439853504","289.189490625109","","",
"Cuba","CUB","Domestic private health expenditure per capita (current US$)","SH.XPD.PVTD.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.34454268","37.06335352","41.34950277","46.15651913","45.46519157","49.21155838","55.26030507","55.88775946","54.10710769","55.04729837","56.23636627","75.69673839","79.33895787","87.52319808","83.47996941","94.9418795","101.29593871","104.85698618","108.64221573","109.23618403","","",
"Curacao","CUW","Domestic private health expenditure per capita (current US$)","SH.XPD.PVTD.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
