Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
GDP (current US$),NY.GDP.MKTP.CD,Afghanistan,AFG,..,..,17805113118.8938,19907317065.6666,20146404996.223,20497126770.1335,19134211763.859,18116562464.9088,18753469630.2586,18053228578.8878,18799450742.7823,20116137325.8206
GDP (current US$),NY.GDP.MKTP.CD,Albania,ALB,2028553750,3480355258.04122,12890764531.3284,12319830437.3467,12776220507.0162,13228147516.1168,11386850129.8411,11861199830.8396,13019689336.6919,15156432309.8977,15400242874.8812,14887629268.2927
GDP (current US$),NY.GDP.MKTP.CD,Algeria,DZA,62048562947.2509,54790392746.1939,200013052199.2,209058991952.125,209755003250.664,213810024944.464,165979279263.174,160034163871.455,170097014589.134,174910878623.049,171767403748.19,145009181490.62
GDP (current US$),NY.GDP.MKTP.CD,American Samoa,ASM,..,..,570000000,640000000,638000000,643000000,673000000,671000000,612000000,639000000,648000000,709000000
GDP (current US$),NY.GDP.MKTP.CD,Andorra,AND,1029048481.88051,1429049198.45218,3629203786.19154,3188808942.56713,3193704343.20627,3271808157.30038,2789870187.50693,2896679211.86628,3000180750.11297,3218316013.22626,3155065487.51819,..
GDP (current US$),NY.GDP.MKTP.CD,Angola,AGO,11236275842.7358,9129634978.33773,111789686464.441,128052853643.106,136709862831.194,145712200312.505,116193649124.151,101123851090.455,122123822333.59,101353230784.594,89417190341.2533,58375976292.9678
GDP (current US$),NY.GDP.MKTP.CD,Antigua and Barbuda,ATG,459470370.37037,826370370.37037,1137637037.03704,1199948148.14815,1181448148.14815,1249733333.33333,1336692592.59259,1436585185.18519,1467977777.77778,1605944444.44444,1687533333.33333,1370281481.48148
GDP (current US$),NY.GDP.MKTP.CD,Argentina,ARG,141352368714.691,284203750000,530163281574.658,545982375701.128,552025140252.246,526319673731.638,594749285413.212,557531376217.967,643628665302.155,524819742918.669,451932356085.842,389288056265.325
GDP (current US$),NY.GDP.MKTP.CD,Armenia,ARM,2256838857.60997,1911563668.85006,10142111334.4961,10619320048.5857,11121465767.4067,11609512939.7542,10553337672.9872,10546135160.031,11527458565.7334,12457941907.0333,13619291361.2814,12641209802.112
GDP (current US$),NY.GDP.MKTP.CD,Aruba,ABW,764887117.194486,1873452513.96648,2549720670.39106,2534636871.50838,2727849720.67039,2790849162.01117,2962905027.93296,2983636871.50838,3092430167.59777,3202188606.92893,..,..
GDP (current US$),NY.GDP.MKTP.CD,Australia,AUS,311326664101.578,415576210513.094,1397907916789.9,1546508558465.66,1576335282651.07,1467504819608.92,1350534154255.76,1206685107002.47,1326882872011.46,1428529571351.06,1391952510370.48,1327836171068.51
GDP (current US$),NY.GDP.MKTP.CD,Austria,AUT,166463386179.354,196799778883.361,431120310088.82,409425234155.263,430068712971.867,441996131736.508,381817565893.574,395568644341.038,416230497429.163,454945881027.378,445011872704.47,433258467676.515
GDP (current US$),NY.GDP.MKTP.CD,Azerbaijan,AZE,..,5272798390.70183,65951627200.2026,69683935845.2139,74164435946.4627,75244294275.1498,53074370486.0433,37867518957.1975,40865558912.3867,47112941176.4706,48174235294.1176,42607176470.5882
GDP (current US$),NY.GDP.MKTP.CD,"Bahamas, The",BHS,3166000000,8076470000,10070450000,10720500000,10494600000,11142900000,11890600000,11992600000,12359700000,12837800000,13164400000,9907500000
GDP (current US$),NY.GDP.MKTP.CD,Bahrain,BHR,4229787234.04255,9062898936.17021,28776595744.6809,30749308510.6383,32539468085.1064,33387712765.9574,31050638297.8723,32234973404.2553,35473776595.7447,37801462765.9574,38652579787.234,34729228723.4043
GDP (current US$),NY.GDP.MKTP.CD,Bangladesh,BGD,31598341233.559,53369787318.6245,128637938711.386,133355749482.478,149990451022.29,172885454931.453,195078678697.23,221415188000.475,249710922462.309,274038973437.275,302571320445.75,323056957972.312
GDP (current US$),NY.GDP.MKTP.CD,Barbados,BRB,2012131457.26644,3059500000,4657500000,4610000000,4677000000,4696500000,4715000000,4830000000,4978000000,5086500000,5209000000,4418000000
GDP (current US$),NY.GDP.MKTP.CD,Belarus,BLR,21650000000,12738912133.8912,61757788944.7236,65685102554.8759,75527984234.2342,78813839984.3506,56454734396.5842,47722657820.6675,54726595249.1849,60031262269.3365,64409647193.8044,60258239055.5829
GDP (current US$),NY.GDP.MKTP.CD,Belgium,BEL,205331747947.851,236204532891.1,522645519183.591,496181260258.3,521642714407.843,534678075827.361,462149679343.822,475739588764.759,501522868356.441,543008499294.079,535288715239.999,521861292586.616
GDP (current US$),NY.GDP.MKTP.CD,Belize,BLZ,412086445.492176,832072450,1460797903.23406,1522897506.07849,1579411253.00514,1667335060.96064,1721700991.46912,1789304087.78561,1858529676.71857,1915899786.96407,1982518540.6134,1636280797.08056
GDP (current US$),NY.GDP.MKTP.CD,Benin,BEN,1959965243.76269,3519991326.48464,10693321953.6355,11141358945.1349,12517845732.2095,13284528654.0574,11388160958.249,11821066152.5979,12701654743.2149,14262407011.5254,14391686632.7821,15651545331.5404
GDP (current US$),NY.GDP.MKTP.CD,Bermuda,BMU,1592400000,3480219000,6312691000,6378188000,6465756000,6413988000,6654541000,6899911000,7142316000,7224329000,7484113000,6842700000
