"Data Source","World Development Indicators",

"Last Updated Date","2022-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.77190734238585","8.85398361284843","8.40563665347592","10.6449943188473","12.4903411486394","13.8814496862508","15.4387361002804","17.7028931443645","18.3872842191156","16.8374537346308","18.9204119918962","21.3074679878652","20.0138796635504","22.1145349665344","19.721417903157","20.1475589872678","20.7003575727969","22.2114458409749","15.6254645522827","15.1223286181133","","",
"Afghanistan","AFG","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.49204723","14.66252735","17.25441753","18.86634996","21.38543832","24.44519073","28.73069622","30.36549678","35.54101566","37.25279732","38.31590145","39.65127422","43.1095203","46.17228869","45.72794863","49.59660498","53.35505676","52.18327578","","",
"Africa Western and Central","AFW","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.7495948750784","12.9808561274355","14.0702390389895","22.9936644291691","24.1794859319618","27.3368984114714","32.7290936262545","35.5024440069546","41.5097888391583","37.2063177615601","40.0640079312238","43.8154246071871","44.7218561087516","48.845759294458","50.9157819785315","45.0179415686958","39.8434425946282","39.2150007844147","36.844754749901","36.3274654753216","","",
"Angola","AGO","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.54932782","13.03949451","14.42650998","16.91819341","23.35680272","22.97002653","21.4084313","26.35744273","29.36305111","18.61011024","18.70483475","21.97174359","21.52809474","30.65902913","35.38184312","36.4004378","33.4924852","39.0121289","31.98357802","26.72219654","","",
"Albania","ALB","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.69450448","51.7564209","57.4827011","68.05230783","82.44522657","86.80730688","89.61615138","124.43957753","116.99684962","87.84079099","90.8978495","104.57328313","107.68097065","120.56795429","131.07267963","83.48671769","84.37203366","100.58673944","122.56802204","","","",
"Andorra","AND","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","202.1306743","211.22605288","228.22078408","290.00487367","343.11475382","361.04135532","382.45244832","427.37996739","434.29405884","384.19230287","367.79847962","392.64014647","357.24459652","361.62988797","351.727727","326.98639877","329.13941297","337.43285163","383.3969125","359.89432154","","",
"Arab World","ARB","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.7735487454497","41.7651046635933","42.1598277809796","40.174317086089","43.7552910288427","48.0785226787063","53.9691687983226","64.1220076956983","74.908937475779","74.7273373657366","80.7385677488527","87.6945168480955","96.1569970301897","104.061143478539","105.574232642709","109.7311161712","111.947578838041","107.361928896655","103.022649206528","106.95648914702","","",
"United Arab Emirates","ARE","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","173.80130234","117.23740012","240.57145916","243.40602483","272.01524062","275.27812005","289.52624128","309.75706745","327.56422043","208.81818658","235.92013021","242.87216906","234.93328044","261.43436489","282.83857059","246.48232356","248.53285927","188.37632364","230.73251122","230.47485416","","",
"Argentina","ARG","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","206.2826297","198.96924551","67.14091604","74.09567638","86.10637105","129.82177197","147.7279936","178.97019191","225.90314976","205.74422699","263.79319601","324.97228656","356.98677134","381.25185129","347.82034884","397.15023056","341.08405055","395.28476169","312.76915155","261.6473284","","",
