Series Name,Series Code,Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
GDP (current US$),NY.GDP.MKTP.CD,Afghanistan,AFG,537777811.10,548888895.60,546666677.80,751111191.10,800000044.40,1006666638.00,1399999967.00,1673333418.00,1373333367.00,1408888922.00,1748886596.00,1831108971.00,1595555476.00,1733333264.00,2155555498.00,2366666616.00,2555555567.00,2953333418.00,3300000109.00,3697940410.00,3641723322.00,3478787909.00,,,,,,,,,,,,,,,,,,,,,4055179566.00,4515558808.00,5226778809.00,6209137625.00,6971285595.00,9747879532.00,10109305183.00,12416161049.00,15856678596.00,17805113119.00,19907317066.00,20146404996.00,20497126770.00,19134211764.00,18116562465.00,18753469630.00,18053228579.00,18799450743.00,20116137326.00
GDP (current US$),NY.GDP.MKTP.CD,Albania,ALB,,,,,,,,,,,,,,,,,,,,,,,,,1857338012.00,1897050133.00,2097326250.00,2080796250.00,2051236250.00,2253090000.00,2028553750.00,1099559028.00,652174990.80,1185315468.00,1880951520.00,2392764853.00,3199641336.00,2258513974.00,2545964541.00,3212121651.00,3480355258.00,3922100794.00,4348068242.00,5611496257.00,7184685782.00,8052073539.00,8896072919.00,10677324144.00,12881353508.00,12044208086.00,11926922829.00,12890764531.00,12319830437.00,12776220507.00,13228147516.00,11386850130.00,11861199831.00,13019689337.00,15156432310.00,15400242875.00,14887629268.00
GDP (current US$),NY.GDP.MKTP.CD,Algeria,DZA,2723593385.00,2434727330.00,2001428328.00,2702960118.00,2909292864.00,3136258897.00,3039834559.00,3370843066.00,3852115817.00,4257218772.00,4863487493.00,5077222367.00,6766766611.00,8707847924.00,13210029612.00,15557934268.00,17728347375.00,20971901273.00,26364491313.00,33243422158.00,42346380831.00,44348672668.00,45207088716.00,48801369800.00,53698278906.00,57937868670.00,63692238160.00,66746396416.00,59089067187.00,55634414465.00,62048562947.00,45715614560.00,48003078389.00,49945599429.00,42543178042.00,41764315330.00,46941582519.00,48177612042.00,48187747529.00,48640653469.00,54790392746.00,54744712815.00,56760355865.00,67863828413.00,85332581189.00,103198000000.00,117027000000.00,134977000000.00,171001000000.00,137211000000.00,161207000000.00,200013000000.00,209059000000.00,209755000000.00,213810000000.00,165979000000.00,160034000000.00,170097000000.00,174911000000.00,171767000000.00,145009000000.00
GDP (current US$),NY.GDP.MKTP.CD,American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512000000.00,524000000.00,509000000.00,500000000.00,493000000.00,518000000.00,560000000.00,675000000.00,573000000.00,570000000.00,640000000.00,638000000.00,643000000.00,673000000.00,671000000.00,612000000.00,639000000.00,648000000.00,709000000.00
GDP (current US$),NY.GDP.MKTP.CD,Andorra,AND,,,,,,,,,,,78619206.09,89409820.36,113408231.90,150820102.80,186558696.30,220127246.40,227281024.60,254020153.30,308008897.60,411578334.20,446416105.80,388958731.30,375895956.40,327861832.90,330070689.30,346737964.80,482000594.00,611316399.40,721425939.20,795449332.40,1029048482.00,1106928583.00,1210013652.00,1007025755.00,1017549124.00,1178738991.00,1223945357.00,1180597273.00,1211932398.00,1239876305.00,1429049198.00,1546926174.00,1755910032.00,2361726862.00,2894921778.00,3159905484.00,3456442103.00,3952600602.00,4085630584.00,3674409558.00,3449966857.00,3629203786.00,3188808943.00,3193704343.00,3271808157.00,2789870188.00,2896679212.00,3000180750.00,3218316013.00,3155065488.00,
GDP (current US$),NY.GDP.MKTP.CD,Angola,AGO,,,,,,,,,,,,,,,,,,,,,5934073604.00,5553824464.00,5553824464.00,5787823809.00,6135166254.00,7558613008.00,7076793823.00,8089279285.00,8775116269.00,10207922517.00,11236275843.00,,,,3390500000.00,5561222222.00,7526963964.00,7649716157.00,6506619145.00,6152936539.00,9129634978.00,8936063723.00,15285594828.00,17812705294.00,23552052408.00,36970918699.00,52381006892.00,65266452081.00,88538611205.00,70307163678.00,83799496611.00,111790000000.00,128053000000.00,136710000000.00,145712000000.00,116194000000.00,101124000000.00,122124000000.00,101353000000.00,89417190341.00,58375976293.00
GDP (current US$),NY.GDP.MKTP.CD,Antigua and Barbuda,ATG,,,,,,,,,,,,,,,,,,77496753.70,87879341.48,109079978.90,131431026.70,147841734.40,164369278.90,182144093.00,208372846.30,240923924.80,290440140.70,337174861.90,398637727.80,438794788.50,459470370.40,481707407.40,499281481.50,535174074.10,589429629.60,577281481.50,633729629.60,680618518.50,727859259.30,766200000.00,826370370.40,800481481.50,814381481.50,856396296.30,919729629.60,1022962963.00,1157662963.00,1312759259.00,1370070370.00,1228329630.00,1148700000.00,1137637037.00,1199948148.00,1181448148.00,1249733333.00,1336692593.00,1436585185.00,1467977778.00,1605944444.00,1687533333.00,1370281481.00
GDP (current US$),NY.GDP.MKTP.CD,Argentina,ARG,,,24450604878.00,18272123664.00,25605249382.00,28344705967.00,28630474728.00,24256667553.00,26436857247.00,31256284544.00,31584210366.00,33293199095.00,34733000536.00,52544000117.00,72436777342.00,52438647922.00,51169499891.00,56781000101.00,58082870156.00,69252328953.00,76961923742.00,78676842366.00,84307486837.00,103979000000.00,79092001998.00,88416668900.00,110934000000.00,111106000000.00,126207000000.00,76636898036.00,141352000000.00,189720000000.00,228789000000.00,236742000000.00,257440000000.00,258032000000.00,272150000000.00,292859000000.00,298948000000.00,283523000000.00,284204000000.00,268697000000.00,97724004252.00,127587000000.00,164658000000.00,198737000000.00,232557000000.00,287531000000.00,361558000000.00,332976000000.00,423627000000.00,530163000000.00,545982000000.00,552025000000.00,526320000000.00,594749000000.00,557531000000.00,643629000000.00,524820000000.00,451932000000.00,389288000000.00
GDP (current US$),NY.GDP.MKTP.CD,Armenia,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2256838858.00,2069870130.00,1272835453.00,1201312829.00,1315158637.00,1468317435.00,1596968946.00,1639492445.00,1893726437.00,1845482173.00,1911563669.00,2118467913.00,2376335048.00,2807061009.00,3576615240.00,4900469950.00,6384451606.00,9206301700.00,11662040714.00,8647936748.00,9260284938.00,10142111334.00,10619320049.00,11121465767.00,11609512940.00,10553337673.00,10546135160.00,11527458566.00,12457941907.00,13619291361.00,12641209802.00
GDP (current US$),NY.GDP.MKTP.CD,Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,405463417.10,487602457.70,596423607.10,695304363.00,764887117.20,872138715.10,958463184.40,1082979721.00,1245688268.00,1320474860.00,1379960894.00,1531944134.00,1665100559.00,1722798883.00,1873452514.00,1920111732.00,1941340782.00,2021229050.00,2228491620.00,2330726257.00,2424581006.00,2615083799.00,2745251397.00,2498882682.00,2390502793.00,2549720670.00,2534636872.00,2727849721.00,2790849162.00,2962905028.00,2983636872.00,3092430168.00,3202188607.00,,
